| Start Node | End Node | Attack | Vulnerability Type | Vulnerability Name |
| 33 | 32 | Inject | Known Vulnerability | Measurement Report Leak |
| 33 | 32 | Drop | Known Vulnerability | Measurement Report Leak |
| 33 | 32 | Modify | Known Vulnerability | Measurement Report Leak |
| 33 | 32 | Replay | Known Vulnerability | Measurement Report Leak |
| 33 | 34 | Inject | Known Vulnerability | Measurement Report Leak |
| 33 | 34 | Drop | Known Vulnerability | Measurement Report Leak |
| 33 | 34 | Modify | Known Vulnerability | Measurement Report Leak |
| 442 | 879 | Modify | Known Vulnerability | RLF Report Leak |
| 442 | 880 | Inject | Known Vulnerability | RLF Report Leak |
| 797 | 801 | Inject | Known Vulnerability | RLF Report Leak |
| 799 | 431 | Inject | Known Vulnerability | RLF Report Leak |
| 799 | 801 | Inject | Known Vulnerability | RLF Report Leak |
| 799 | 801 | Replay | Known Vulnerability | RLF Report Leak |
| 812 | 431 | Modify | Known Vulnerability | RLF Report Leak |
| 812 | 801 | Inject | Known Vulnerability | RLF Report Leak |
| 812 | 801 | Drop | Known Vulnerability | RLF Report Leak |
| 812 | 801 | Modify | Known Vulnerability | RLF Report Leak |
| 812 | 801 | Replay | Known Vulnerability | RLF Report Leak |
| 19 | 57 | Inject | Known Vulnerability | RLF Report Leak |
| 19 | 57 | Drop | Known Vulnerability | RLF Report Leak |
| 19 | 57 | Modify | Known Vulnerability | RLF Report Leak |
